,Unnamed: 0,ft,X,Y,incl,azim,mt,lon,lat
0,0,-290.0,1294279.24,1020277.75,0.0,0.0,88.392,-73.89388884764858,7.257245294150016
1,1,10.0,1294279.24,1020277.75,0.0,0.0,-3.048,-73.89388884764858,7.257245294150016
2,2,45.0,1294279.24,1020277.75,0.0,0.0,-13.716,-73.89388884764858,7.257245294150016
3,3,590.0,1294279.24,1020277.75,0.0,0.0,-179.832,-73.89388884764858,7.257245294150016
4,4,1445.0,1294279.24,1020277.75,0.0,0.0,-440.436,-73.89388884764858,7.257245294150016
5,5,1960.0,1294279.24,1020277.75,0.0,0.0,-597.408,-73.89388884764858,7.257245294150016
6,6,2355.0,1294279.24,1020277.75,0.0,0.0,-717.804,-73.89388884764858,7.257245294150016
7,7,2455.0,1294279.24,1020277.75,0.0,0.0,-748.284,-73.89388884764858,7.257245294150016
8,8,2850.0,1294279.24,1020277.75,0.0,0.0,-868.68,-73.89388884764858,7.257245294150016
9,9,4980.0,1294279.24,1020277.75,0.0,0.0,-1517.904,-73.89388884764858,7.257245294150016
10,10,7165.0,1294279.24,1020277.75,0.0,0.0,-2183.892,-73.89388884764858,7.257245294150016
11,11,8099.4,1294279.24,1020277.75,0.0,0.0,-2468.69712,-73.89388884764858,7.257245294150016
12,12,8110.0,1294279.244,1020277.753,0.158,36.145,-2471.928,-73.89388882046842,7.257245330307828
13,13,8259.95,1294280.07,1020278.357,2.408,36.145,-2517.63276,-73.89388334811902,7.257252796953047
14,14,8409.66,1294282.346,1020280.018,4.658,36.145,-2563.264368,-73.89386829914073,7.257273370916912
15,15,8558.88,1294286.066,1020282.736,6.908,36.145,-2608.746624,-73.89384367355294,7.257306997945186
16,16,8630.0,1294288.353,1020284.407,7.984,36.145,-2630.424,-73.89382853397899,7.257327671335166
17,17,8707.4,1294291.225,1020286.504,9.158,36.145,-2654.01552,-73.89380953475586,7.257353632850776
18,18,8854.98,1294297.815,1020291.318,11.408,36.145,-2698.997904,-73.89376591899361,7.257413203308386
19,19,9001.4,1294305.827,1020297.17,13.658,36.145,-2743.62672,-73.89371289873303,7.257485627964513
20,20,9114.55,1294313.048,1020302.444,15.412,36.145,-2778.11484,-73.8936651152492,7.257550902353207
21,21,9146.46,1294315.213,1020304.025,15.412,36.145,-2787.841008,-73.89365079107233,7.257570472918271
22,22,9210.0,1294319.524,1020307.174,15.412,36.145,-2807.208,-73.89362226050187,7.2576094422927895
23,23,9291.07,1294325.024,1020311.192,15.412,36.145,-2831.918136,-73.8935858566127,7.257659159652975
24,24,9435.68,1294334.836,1020318.359,15.412,36.145,-2875.995264,-73.89352092212374,7.257747855419603
25,25,9580.28,1294344.648,1020325.526,15.412,36.145,-2920.069344,-73.89345598760916,7.257836551175965
26,26,9724.89,1294354.459,1020332.692,15.412,36.145,-2964.146472,-73.89339106212778,7.25792523788353
27,27,9810.0,1294360.234,1020336.91,15.412,36.145,-2990.088,-73.89335284613986,7.257977441093421
28,28,9869.49,1294364.271,1020339.859,15.412,36.145,-3008.220552,-73.89332612756192,7.258013933619354
29,29,10014.1,1294374.083,1020347.026,15.412,36.145,-3052.29768,-73.89326119297041,7.2581026293449105
30,30,10158.71,1294383.894,1020354.193,15.412,36.145,-3096.374808,-73.89319625835694,7.258191316017998
31,31,10175.0,1294385.0,1020355.0,15.412,36.145,-3101.34,-73.89318894675118,7.25820131372343
32,32,10303.31,1294393.706,1020361.359,15.412,36.145,-3140.448888,-73.89313133276934,7.258280011726688
33,33,10350.0,1294396.874,1020363.673,15.412,36.145,-3154.68,-73.89311036739988,7.2583086489028315
34,34,10447.92,1294403.518,1020368.526,15.412,36.145,-3184.526016,-73.89306639810093,7.2583687074214325
35,35,10542.78,1294409.954,1020373.227,15.412,36.145,-3213.439344,-73.89302380594545,7.258426885717277
36,36,9291.07,1294325.024,1020311.192,15.412,36.145,-2831.918136,-73.8935858566127,7.257659159652975
37,37,9306.4,1294326.064,1020311.952,15.412,36.145,-2836.59072,-73.89357897085989,7.257668560752589
38,38,9434.12,1294336.078,1020319.266,20.718,36.145,-2875.519776,-73.89351270451503,7.257759082502975
39,39,9570.84,1294351.206,1020330.316,27.693,36.145,-2917.192032,-73.89341258919508,7.2578958323337615
40,40,9699.1,1294370.309,1020344.269,34.668,36.145,-2956.28568,-73.89328617199622,7.258068514216114
41,41,9810.0,1294391.588,1020359.812,41.21,36.145,-2990.088,-73.89314534894208,7.258260866038075
42,42,9816.98,1294393.103,1020360.919,41.643,36.145,-2992.215504,-73.89313531927198,7.258274560898776
43,43,9922.74,1294419.253,1020380.019,48.618,36.145,-3024.451152,-73.89296226882222,7.258510944127408
44,44,10014.81,1294448.37,1020401.287,55.593,36.145,-3052.514088,-73.89276957557759,7.258774147497843
45,45,10091.84,1294480.023,1020424.408,62.568,36.145,-3075.992832,-73.89256009344999,7.259060274957037
46,46,10152.68,1294513.745,1020449.039,69.543,36.145,-3094.536864,-73.89233693003894,7.259365105039743
47,47,10175.0,1294529.835,1020460.791,72.755,36.145,-3101.34,-73.89223045368477,7.259510550583672
48,48,10196.63,1294549.03,1020474.797,76.002,36.042,-3107.932824,-73.89210355530994,7.259684063788094
49,49,10226.17,1294585.338,1020501.055,81.279,35.71,-3116.936616,-73.89186564884558,7.260012270719812
50,50,10242.06,1294622.315,1020527.478,86.556,35.388,-3121.779888,-73.89162624543692,7.260346526131149
51,51,10243.93,1294631.957,1020534.317,87.922,35.305,-3122.349864,-73.89156428091937,7.2604336856306935
52,52,10245.0,1294646.658,1020544.704,90.0,35.18,-3122.676,-73.89147016961613,7.2605665764283165
53,53,10245.0,1294659.638,1020553.853,90.0,35.18,-3122.676,-73.89138727503666,7.260683910180457
54,54,10245.0,1294697.007,1020580.194,90.0,35.18,-3122.676,-73.89114861198398,7.261021710157318
55,55,10245.0,1294734.376,1020606.536,90.0,35.18,-3122.676,-73.89090993951662,7.26135950999091
56,56,10245.0,1294771.745,1020632.877,90.0,35.18,-3122.676,-73.89067127574504,7.261697309688652
57,57,10245.0,1294809.114,1020659.219,90.0,35.18,-3122.676,-73.89043260255873,7.262035109243074
58,58,10245.0,1294846.483,1020685.56,90.0,35.18,-3122.676,-73.89019393806817,7.262372908661622
59,59,10245.0,1294883.852,1020711.901,90.0,35.18,-3122.676,-73.88995527321809,7.26271070794055
60,60,10245.0,1294921.221,1020738.243,90.0,35.18,-3122.676,-73.8897165989532,7.263048507076091
61,61,10245.0,1294958.59,1020764.584,90.0,35.18,-3122.676,-73.88947793338401,7.263386306075721
62,62,10245.0,1294995.959,1020790.926,90.0,35.18,-3122.676,-73.88923925839995,7.2637241049319154
63,63,10245.0,1295033.328,1020817.267,90.0,35.18,-3122.676,-73.88900059211159,7.264061903652171
64,64,10245.0,1295070.697,1020843.609,90.0,35.18,-3122.676,-73.88876191640828,7.264399702228949
65,65,10245.0,1295108.067,1020869.95,90.0,35.18,-3122.676,-73.88852324939685,7.264737509711956
66,66,10245.0,1295145.436,1020896.292,90.0,35.18,-3122.676,-73.88828457297421,7.265075308009244
67,67,10245.0,1295182.805,1020922.633,90.0,35.18,-3122.676,-73.88804590524718,7.265413106170539
68,68,10245.0,1295220.174,1020948.974,90.0,35.18,-3122.676,-73.88780723716046,7.265750904192054
69,69,10245.0,1295257.543,1020975.316,90.0,35.18,-3122.676,-73.88756855965866,7.266088702069976
70,70,10245.0,1295294.912,1021001.657,90.0,35.18,-3122.676,-73.88732989085243,7.266426499811867
71,71,10245.0,1295332.281,1021027.999,90.0,35.18,-3122.676,-73.88709121263109,7.26676429741012
72,72,10245.0,1295369.65,1021054.34,90.0,35.18,-3122.676,-73.8868525431053,7.267102094872316
73,73,10245.0,1295407.019,1021080.682,90.0,35.18,-3122.676,-73.88661386416432,7.267439892190834
74,74,10245.0,1295444.388,1021107.023,90.0,35.18,-3122.676,-73.88637519391887,7.267777689373261
75,75,10245.0,1295481.757,1021133.365,90.0,35.18,-3122.676,-73.88613651425817,7.268115486411963
76,76,10245.0,1295519.126,1021159.706,90.0,35.18,-3122.676,-73.88589784329298,7.268453283314556
77,77,10245.0,1295556.495,1021186.047,90.0,35.18,-3122.676,-73.88565917196787,7.268791080077206
78,78,10245.0,1295593.864,1021212.389,90.0,35.18,-3122.676,-73.88542049122745,7.269128876696057
79,79,10245.0,1295631.233,1021238.73,90.0,35.18,-3122.676,-73.88518181918248,7.269466673178761
80,80,10245.0,1295643.167,1021247.142,90.0,35.18,-3122.676,-73.88510559917333,7.269574550353517
